scene,trajectory_id,split,entry_region,exit_region,od_pair,supported_at_selected_threshold,recording_id,start_x_topview,start_y_topview,end_x_topview,end_y_topview,source_recording_id,start_x,start_y,end_x,end_y
bellevue_ne8th,bellevue_ne8th:126461,target_estimation,1,3,1->3,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,2163.892965931007,552.1664928635721,1064.0600783334512,527.2488448546441,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,558.5837406042846,54.96029589103926,817.4573072028876,674.7709285851673
bellevue_ne8th,bellevue_ne8th:126507,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1083.4709203692148,615.5164441555825,1885.5340460635027,672.2144172718714,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1086.4636241566047,513.6159385912342,645.4893273555864,75.20442648222941
bellevue_ne8th,bellevue_ne8th:126540,target_estimation,1,3,1->3,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,2169.554447536492,549.8126583203276,1063.5956808232074,526.9275863605887,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,557.2265127470995,54.634732067223716,817.1469201290234,677.8747490160389
bellevue_ne8th,bellevue_ne8th:126640,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1069.8113320558455,595.850210422352,2270.40224931752,629.5722893582616,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1074.1103182705958,578.9796506939507,590.2553279992302,50.29843641338921
bellevue_ne8th,bellevue_ne8th:126646,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1108.7920212196077,623.8431523188381,2192.9254107377637,631.8613815951278,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1030.3211723558823,437.35008563417364,595.7929310191753,54.08174477779501
bellevue_ne8th,bellevue_ne8th:127024,target_estimation,3,0,3->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1197.0165914362808,822.457451652742,1193.5446123091963,310.94656924632665,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1196.6322642933226,263.80335753469734,13.15558414567599,372.0518798828122
bellevue_ne8th,bellevue_ne8th:127179,target_estimation,3,0,3->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1188.5098511362346,755.7066093583699,1180.8079222623853,318.19930401930594,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1113.1960216175414,280.60855342980574,7.38418289531355,395.96826412316483
bellevue_ne8th,bellevue_ne8th:127295,target_estimation,3,3,3->3,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1177.320265852864,757.4770828095352,1062.083832405597,533.6649435926598,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1139.5184666489101,291.78764028838174,852.5372049967435,678.8368023496678
bellevue_ne8th,bellevue_ne8th:127312,target_estimation,3,0,3->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1199.2980091639326,820.7198708295342,1194.9565045387415,309.16886697893494,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1189.363176935368,262.0687879157787,10.096663067557586,369.8860324744018
bellevue_ne8th,bellevue_ne8th:127323,target_estimation,3,3,3->3,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1172.8963841508057,747.8421362219914,1066.1932810092317,521.482491133986,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1133.1348710493596,298.1958939985794,785.3458237156714,669.0808351458923
