scene,endpoint_role,record_type,region_a,region_b,region_size,region_share,reference_center_x,reference_center_y,centroid_x,centroid_y,mean_angle_rad,angular_std_rad,angular_span_rad,mean_radius,median_radius,within_region_mean_spread,within_region_max_spread,pairwise_centroid_distance,pairwise_angular_separation_rad
bellevue_150th_se38th,entry,pairwise,0,5.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,231.07476951028028,0.8897461044871644
bellevue_150th_se38th,entry,pairwise,0,6.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,23.07924917742954,2.4700452557748984
bellevue_150th_se38th,entry,pairwise,1,2.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,233.85872059303517,2.399272289281587
bellevue_150th_se38th,entry,pairwise,1,3.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,216.68015060215626,0.5136442616294212
bellevue_150th_se38th,entry,pairwise,1,4.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,282.24448694617286,1.35479334577122
bellevue_150th_se38th,entry,pairwise,1,5.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,388.89549441841666,2.007972744206027
bellevue_150th_se38th,entry,pairwise,1,6.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,223.52350218866658,0.9154212027114964
bellevue_150th_se38th,entry,pairwise,2,3.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,396.44827560208057,2.9129165509110084
bellevue_150th_se38th,entry,pairwise,2,4.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,210.95834346459168,2.5291196721267792
bellevue_150th_se38th,entry,pairwise,2,5.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,240.42001641615056,1.8759402736919721
bellevue_150th_se38th,entry,pairwise,2,6.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,11.935673730006533,1.4838510865700907
bellevue_150th_se38th,entry,pairwise,3,4.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,311.8740417514394,0.8411490841417988
bellevue_150th_se38th,entry,pairwise,3,5.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,437.6931939444402,1.4943284825766059
