scene,automatic_entry_region,automatic_exit_region,automatic_od_pair,target_estimation_support_count,target_estimation_support_percentage,support_threshold,low_support_mode,mapped_manual_entry,mapped_manual_exit,mapped_manual_movement,mapped_pair_is_legal,empirical_target_reference_movement,empirical_target_reference_purity,empirical_target_valid_count,empirical_target_movements_json,all_target_reference_movements_json,unique_target_reference_movement_count,target_reference_invalid_count,median_canonical_point_count,short_track_fraction_le_30_points,independent_prediction_count,independent_valid_reference_count,independent_reference_movements_json,observed_in_independent_valid_reference,semantic_duplicate_group_size,duplicate_semantic_movement_flag,empirical_dominant_duplicate_group_size,empirical_dominant_duplicate_flag
bellevue_150th_se38th,2,1,2->1,60,2.4174053182917,0.0025,False,A,E,bellevue_150th_se38th:A>E,False,bellevue_150th_se38th:A>G,1.0,59,"{""bellevue_150th_se38th:A>G"": 59}","{""bellevue_150th_se38th:A>G"": 59}",1,1,193.5,0.0,260,257,"{""bellevue_150th_se38th:A>G"": 255, ""bellevue_150th_se38th:A>H"": 2}",True,4,True,10,True
bellevue_150th_se38th,1,1,1->1,54,2.17566478646253,0.0025,False,D,E,bellevue_150th_se38th:D>E,True,bellevue_150th_se38th:A>H,0.7735849056603774,53,"{""bellevue_150th_se38th:A>H"": 41, ""bellevue_150th_se38th:D>F"": 1, ""bellevue_150th_se38th:D>G"": 11}","{""bellevue_150th_se38th:A>H"": 41, ""bellevue_150th_se38th:D>F"": 1, ""bellevue_150th_se38th:D>G"": 11}",3,1,227.0,0.0,42,40,"{""bellevue_150th_se38th:A>G"": 1, ""bellevue_150th_se38th:A>H"": 4, ""bellevue_150th_se38th:D>F"": 1, ""bellevue_150th_se38th:D>G"": 34}",True,1,False,2,True
bellevue_150th_se38th,0,1,0->1,42,1.6921837228041903,0.0025,False,A,E,bellevue_150th_se38th:A>E,False,bellevue_150th_se38th:A>G,0.8918918918918919,37,"{""bellevue_150th_se38th:A>G"": 33, ""bellevue_150th_se38th:A>H"": 4}","{""bellevue_150th_se38th:A>G"": 33, ""bellevue_150th_se38th:A>H"": 4}",2,5,185.5,0.0,135,125,"{""bellevue_150th_se38th:A>G"": 123, ""bellevue_150th_se38th:A>H"": 2}",True,4,True,10,True
bellevue_150th_se38th,4,0,4->0,29,1.1684125705076551,0.0025,False,B,G,bellevue_150th_se38th:B>G,True,bellevue_150th_se38th:A>G,1.0,29,"{""bellevue_150th_se38th:A>G"": 29}","{""bellevue_150th_se38th:A>G"": 29}",1,0,273.0,0.0,19,19,"{""bellevue_150th_se38th:A>G"": 19}",True,1,False,10,True
bellevue_150th_se38th,3,2,3->2,17,0.684931506849315,0.0025,False,C,G,bellevue_150th_se38th:C>G,False,bellevue_150th_se38th:C>F,1.0,4,"{""bellevue_150th_se38th:C>F"": 4}","{""bellevue_150th_se38th:C>F"": 4}",1,13,384.0,0.0,34,12,"{""bellevue_150th_se38th:C>F"": 12}",True,2,True,1,False
bellevue_150th_se38th,3,0,3->0,16,0.6446414182111201,0.0025,False,C,G,bellevue_150th_se38th:C>G,False,bellevue_150th_se38th:A>G,1.0,16,"{""bellevue_150th_se38th:A>G"": 16}","{""bellevue_150th_se38th:A>G"": 16}",1,0,248.0,0.0,13,13,"{""bellevue_150th_se38th:A>G"": 13}",True,2,True,10,True
bellevue_150th_se38th,5,2,5->2,15,0.604351329572925,0.0025,False,A,G,bellevue_150th_se38th:A>G,True,bellevue_150th_se38th:A>G,1.0,15,"{""bellevue_150th_se38th:A>G"": 15}","{""bellevue_150th_se38th:A>G"": 15}",1,0,205.0,0.0,12,10,"{""bellevue_150th_se38th:A>G"": 10}",True,6,True,10,True
bellevue_150th_se38th,6,0,6->0,11,0.4431909750201451,0.0025,True,A,G,bellevue_150th_se38th:A>G,True,bellevue_150th_se38th:A>G,1.0,11,"{""bellevue_150th_se38th:A>G"": 11}","{""bellevue_150th_se38th:A>G"": 11}",1,0,230.0,0.0,1,1,"{""bellevue_150th_se38th:A>G"": 1}",True,6,True,10,True
bellevue_ne8th,0,1,0->1,1838,32.96269727403157,0.005,False,A,G,bellevue_ne8th:A>G,True,bellevue_ne8th:A>G,1.0,1020,"{""bellevue_ne8th:A>G"": 1020}","{""bellevue_ne8th:A>G"": 1020}",1,818,279.0,0.0,2290,1868,"{""bellevue_ne8th:A>G"": 1868}",True,1,False,1,False
bellevue_ne8th,1,3,1->3,1061,19.027977044476327,0.005,False,C,E,bellevue_ne8th:C>E,True,bellevue_ne8th:C>E,1.0,1036,"{""bellevue_ne8th:C>E"": 1036}","{""bellevue_ne8th:C>E"": 1036}",1,25,256.0,0.0,1726,1706,"{""bellevue_ne8th:C>E"": 1706}",True,1,False,1,False
bellevue_ne8th,3,0,3->0,785,14.07819225251076,0.005,False,B,H,bellevue_ne8th:B>H,True,bellevue_ne8th:B>H,1.0,764,"{""bellevue_ne8th:B>H"": 764}","{""bellevue_ne8th:B>H"": 764}",1,21,506.0,0.0,1225,1203,"{""bellevue_ne8th:B>H"": 1203}",True,1,False,1,False
bellevue_ne8th,2,2,2->2,769,13.791248206599713,0.005,False,D,F,bellevue_ne8th:D>F,True,bellevue_ne8th:D>F,1.0,768,"{""bellevue_ne8th:D>F"": 768}","{""bellevue_ne8th:D>F"": 768}",1,1,341.0,0.0,1373,1370,"{""bellevue_ne8th:D>F"": 1370}",True,1,False,1,False
bellevue_ne8th,0,0,0->0,434,7.783357245337159,0.005,False,A,H,bellevue_ne8th:A>H,True,bellevue_ne8th:A>H,1.0,421,"{""bellevue_ne8th:A>H"": 421}","{""bellevue_ne8th:A>H"": 421}",1,13,265.5,0.0,713,701,"{""bellevue_ne8th:A>H"": 701}",True,1,False,1,False
bellevue_ne8th,2,1,2->1,277,4.967718794835007,0.005,False,D,G,bellevue_ne8th:D>G,True,bellevue_ne8th:D>G,1.0,155,"{""bellevue_ne8th:D>G"": 155}","{""bellevue_ne8th:D>G"": 155}",1,122,822.0,0.0,251,222,"{""bellevue_ne8th:D>G"": 222}",True,1,False,1,False
bellevue_ne8th,1,2,1->2,259,4.644906743185079,0.005,False,C,F,bellevue_ne8th:C>F,True,bellevue_ne8th:C>F,1.0,258,"{""bellevue_ne8th:C>F"": 258}","{""bellevue_ne8th:C>F"": 258}",1,1,727.0,0.0,279,279,"{""bellevue_ne8th:C>F"": 279}",True,1,False,1,False
bellevue_ne8th,1,0,1->0,74,1.327116212338594,0.005,False,C,H,bellevue_ne8th:C>H,True,bellevue_ne8th:C>H,1.0,66,"{""bellevue_ne8th:C>H"": 66}","{""bellevue_ne8th:C>H"": 66}",1,8,488.0,0.0,24,19,"{""bellevue_ne8th:C>H"": 19}",True,1,False,1,False
bellevue_ne8th,3,3,3->3,65,1.16571018651363,0.005,False,B,E,bellevue_ne8th:B>E,True,bellevue_ne8th:B>E,1.0,54,"{""bellevue_ne8th:B>E"": 54}","{""bellevue_ne8th:B>E"": 54}",1,11,311.0,0.0,119,109,"{""bellevue_ne8th:B>E"": 109}",True,1,False,1,False
