scene,method,trial_index,fit_random_seed,params_json,n_total,n_clusters,cluster_count_error,n_outliers,pct_outliers,largest_cluster_ratio,fit_time_s,hg_estimated_target,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG,error,untargeted_selection_key_json,hg_expected_selection_key_json,selected_untargeted,selected_hg_expected_aware
bellevue_116th_ne12th,kmeans,11,20260713,"{""max_iter"": 300, ""n_clusters"": 12, ""n_init"": 10}",634,12,2,0,0.0,0.2618296529968454,0.04337400000076741,10,0.7508034642470816,0.39614766785518757,4015.2304686044763,0.5805033719022413,0.8329828692251464,,"[-0.7508034642470816, 0.39614766785518757, -4015.2304686044763, 0.2618296529968454, ""{\""max_iter\"": 300, \""n_clusters\"": 12, \""n_init\"": 10}""]","[2.0, -0.7508034642470816, 0.39614766785518757, -4015.2304686044763, 0.2618296529968454, ""{\""max_iter\"": 300, \""n_clusters\"": 12, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,12,20260714,"{""max_iter"": 300, ""n_clusters"": 13, ""n_init"": 10}",634,13,3,0,0.0,0.23817034700315456,0.04685919999610633,10,0.692464475791742,0.42445874492514657,4240.876714602062,0.5334072407540761,0.7810082924188806,,"[-0.692464475791742, 0.42445874492514657, -4240.876714602062, 0.23817034700315456, ""{\""max_iter\"": 300, \""n_clusters\"": 13, \""n_init\"": 10}""]","[3.0, -0.692464475791742, 0.42445874492514657, -4240.876714602062, 0.23817034700315456, ""{\""max_iter\"": 300, \""n_clusters\"": 13, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,13,20260715,"{""max_iter"": 300, ""n_clusters"": 14, ""n_init"": 10}",634,14,4,0,0.0,0.2334384858044164,0.04811969993170351,10,0.6955964796305171,0.4473372746395854,4493.055592433608,0.5059821733579157,0.730528371314747,,"[-0.6955964796305171, 0.4473372746395854, -4493.055592433608, 0.2334384858044164, ""{\""max_iter\"": 300, \""n_clusters\"": 14, \""n_init\"": 10}""]","[4.0, -0.6955964796305171, 0.4473372746395854, -4493.055592433608, 0.2334384858044164, ""{\""max_iter\"": 300, \""n_clusters\"": 14, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,14,20260716,"{""max_iter"": 300, ""n_clusters"": 15, ""n_init"": 10}",634,15,5,0,0.0,0.2334384858044164,0.04960259993094951,10,0.6983174097315797,0.470664631091782,4637.046631859933,0.4872369223937135,0.6795684895479563,,"[-0.6983174097315797, 0.470664631091782, -4637.046631859933, 0.2334384858044164, ""{\""max_iter\"": 300, \""n_clusters\"": 15, \""n_init\"": 10}""]","[5.0, -0.6983174097315797, 0.470664631091782, -4637.046631859933, 0.2334384858044164, ""{\""max_iter\"": 300, \""n_clusters\"": 15, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,15,20260717,"{""max_iter"": 300, ""n_clusters"": 16, ""n_init"": 10}",634,16,6,0,0.0,0.20504731861198738,0.04921760002616793,10,0.6525074929843793,0.47828316632574974,5018.408102892717,0.47451509061514,0.6297666812994026,,"[-0.6525074929843793, 0.47828316632574974, -5018.408102892717, 0.20504731861198738, ""{\""max_iter\"": 300, \""n_clusters\"": 16, \""n_init\"": 10}""]","[6.0, -0.6525074929843793, 0.47828316632574974, -5018.408102892717, 0.20504731861198738, ""{\""max_iter\"": 300, \""n_clusters\"": 16, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,16,20260718,"{""max_iter"": 300, ""n_clusters"": 17, ""n_init"": 10}",634,17,7,0,0.0,0.15615141955835962,0.0505921000149101,10,0.659360012825812,0.4850299364858852,5186.6326170530765,0.46977221360655347,0.5846915685276521,,"[-0.659360012825812, 0.4850299364858852, -5186.6326170530765, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 17, \""n_init\"": 10}""]","[7.0, -0.659360012825812, 0.4850299364858852, -5186.6326170530765, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 17, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,17,20260719,"{""max_iter"": 300, ""n_clusters"": 18, ""n_init"": 10}",634,18,8,0,0.0,0.15615141955835962,0.05317830003332347,10,0.6305092550161455,0.5468483808114678,5266.5008676516445,0.459345220468844,0.5305578979204945,,"[-0.6305092550161455, 0.5468483808114678, -5266.5008676516445, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 18, \""n_init\"": 10}""]","[8.0, -0.6305092550161455, 0.5468483808114678, -5266.5008676516445, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 18, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,18,20260720,"{""max_iter"": 300, ""n_clusters"": 19, ""n_init"": 10}",634,19,9,0,0.0,0.1498422712933754,0.052913399995304644,10,0.6459062367221203,0.5433187333910071,5221.143154977173,0.45470879939668163,0.4821065140865948,,"[-0.6459062367221203, 0.5433187333910071, -5221.143154977173, 0.1498422712933754, ""{\""max_iter\"": 300, \""n_clusters\"": 19, \""n_init\"": 10}""]","[9.0, -0.6459062367221203, 0.5433187333910071, -5221.143154977173, 0.1498422712933754, ""{\""max_iter\"": 300, \""n_clusters\"": 19, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,19,20260721,"{""max_iter"": 300, ""n_clusters"": 20, ""n_init"": 10}",634,20,10,0,0.0,0.15615141955835962,0.0560415000654757,10,0.540444766098247,0.6420505913221362,5313.211936994141,0.44185682808343263,0.42230655981778875,,"[-0.540444766098247, 0.6420505913221362, -5313.211936994141, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 20, \""n_init\"": 10}""]","[10.0, -0.540444766098247, 0.6420505913221362, -5313.211936994141, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 20, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,20,20260722,"{""max_iter"": 300, ""n_clusters"": 21, ""n_init"": 10}",634,21,11,0,0.0,0.14511041009463724,0.05714569997508079,10,0.584458662425286,0.6322948415476523,5393.422190118479,0.4411769463372938,0.4259753338961203,,"[-0.584458662425286, 0.6322948415476523, -5393.422190118479, 0.14511041009463724, ""{\""max_iter\"": 300, \""n_clusters\"": 21, \""n_init\"": 10}""]","[11.0, -0.584458662425286, 0.6322948415476523, -5393.422190118479, 0.14511041009463724, ""{\""max_iter\"": 300, \""n_clusters\"": 21, \""n_init\"": 10}""]",False,False
