scene_id,recording_id,trajectory_source_path,trajectory_source_checksum,trajectory_source_size_bytes,trajectory_source_rows,trajectory_source_row_groups,source_recording_file,video_exists,video_size_bytes,video_checksum_policy
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_17-08-33,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_17-08-33.parquet,a602f3581f20684f1d28a25d02914cd885b9f891b37707350e1cdd5896156e84,91800929,3146437,4,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_17-08-33.mp4,True,670193912,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_newport,Bellevue_150th_Newport__2017-09-10_18-08-24,data/interim/bellevue_150th_newport/tracks_Bellevue_150th_Newport__2017-09-10_18-08-24.parquet,6c4b061efc692cd8f4772c96e7f37d7fc29d2cc41212f38f1d51dbf54daaf67e,53018414,1792540,2,data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_18-08-24.mp4,True,725653754,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_newport,Bellevue_150th_Newport__2017-09-10_19-08-24,data/interim/bellevue_150th_newport/tracks_Bellevue_150th_Newport__2017-09-10_19-08-24.parquet,6d69506aeebbd30877a04f7867c6c0a170d614c317d6a5e8d29c4586102344ad,55223650,1886124,2,data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_19-08-24.mp4,True,562233775,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_newport,Bellevue_150th_Newport__2017-09-10_20-08-25,data/interim/bellevue_150th_newport/tracks_Bellevue_150th_Newport__2017-09-10_20-08-25.parquet,140d567ff3aadadd18303be27f8ed367bd196e55fca75882127f2215a5d48478,23238513,700432,1,data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_20-08-25.mp4,True,771199106,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_newport,Bellevue_150th_Newport__2017-09-10_21-08-28,data/interim/bellevue_150th_newport/tracks_Bellevue_150th_Newport__2017-09-10_21-08-28.parquet,d73bc30993214f3734ffc07c52b16becc04c3ba308a117d5d5068b61a81cf400,19618159,576539,1,data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_21-08-28.mp4,True,697682115,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_newport,Bellevue_150th_Newport__2017-09-10_22-08-28,data/interim/bellevue_150th_newport/tracks_Bellevue_150th_Newport__2017-09-10_22-08-28.parquet,ce7b06f65720f2898403af4d7b70ec5e2f2f3d2377bc1f7e384c0391e9256aa8,16250283,469887,1,data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_22-08-28.mp4,True,592134605,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_newport,Bellevue_150th_Newport__2017-09-10_23-08-29,data/interim/bellevue_150th_newport/tracks_Bellevue_150th_Newport__2017-09-10_23-08-29.parquet,c140cc9d3b2dfb4cdca6dfd297350767d6683c761b01472d11f666b95b9e6129,15582849,449494,1,data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-10_23-08-29.mp4,True,555848207,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_newport,Bellevue_150th_Newport__2017-09-11_00-08-29,data/interim/bellevue_150th_newport/tracks_Bellevue_150th_Newport__2017-09-11_00-08-29.parquet,a7edc5854c4b3d28b7f7dab7242e8feddab0d675405da66a8b1e25be2fd3a0eb,15044385,432395,1,data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-11_00-08-29.mp4,True,517268218,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_newport,Bellevue_150th_Newport__2017-09-11_01-08-29,data/interim/bellevue_150th_newport/tracks_Bellevue_150th_Newport__2017-09-11_01-08-29.parquet,2d1ee51bebe7b270e578fd33112414e220efe83d44ec83b4d0e0bfb2b77c0f61,13597838,388537,1,data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-11_01-08-29.mp4,True,448587688,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_newport,Bellevue_150th_Newport__2017-09-11_02-08-29,data/interim/bellevue_150th_newport/tracks_Bellevue_150th_Newport__2017-09-11_02-08-29.parquet,d115b2ce42c2b365724019af55f85d0b0a80efe2f5434c4664790bd010936c91,14665220,421984,1,data/raw/bellevue_150th_newport/Bellevue_150th_Newport__2017-09-11_02-08-29.mp4,True,491176517,sha256_on_demand_before_clip_or_frame_use
