scene,method,trial_index,fit_random_seed,params_json,n_total,n_clusters,cluster_count_error,n_outliers,pct_outliers,largest_cluster_ratio,fit_time_s,hg_estimated_target,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG,error,untargeted_selection_key_json,hg_expected_selection_key_json,selected_untargeted,selected_hg_expected_aware,interval_lower,interval_upper,interval_distance,pcms_strategy_id,selected_pcms,pcms_selection_key_json
bellevue_116th_ne12th,hdbscan,2,20260704,"{""min_cluster_size"": 80, ""min_samples"": 20}",634,3,7,7,1.10410094637224,0.419457735247209,0.012832999927923,10,0.633559531894622,0.590329762881821,938.763528768726,0.43771402145922,0.550404041741174,,"[-0.6335595318946218, 0.590329762881821, -938.7635287687262, 0.4194577352472089, ""{\""min_cluster_size\"": 80, \""min_samples\"": 20}""]","[7.0, 1.1041009463722398, -0.6335595318946218, 0.590329762881821, -938.7635287687262, 0.4194577352472089, ""{\""min_cluster_size\"": 80, \""min_samples\"": 20}""]",False,False,8,13,5,A5,False,
bellevue_116th_ne12th,hdbscan,3,20260705,"{""min_cluster_size"": 160, ""min_samples"": 10}",634,3,7,0,0,0.414826498422713,0.0117979000788182,10,0.628054987618095,0.600254307919863,928.973261218874,0.439915133376408,0.552410167214182,,"[-0.6280549876180954, 0.6002543079198633, -928.9732612188736, 0.4148264984227129, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]","[7.0, 0.0, -0.6280549876180954, 0.6002543079198633, -928.9732612188736, 0.4148264984227129, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]",False,False,8,13,5,A5,False,
bellevue_116th_ne12th,hdbscan,4,20260706,"{""min_cluster_size"": 160, ""min_samples"": 20}",634,3,7,7,1.10410094637224,0.419457735247209,0.0127604000736027,10,0.633559531894622,0.590329762881821,938.763528768726,0.43771402145922,0.550404041741174,,"[-0.6335595318946218, 0.590329762881821, -938.7635287687262, 0.4194577352472089, ""{\""min_cluster_size\"": 160, \""min_samples\"": 20}""]","[7.0, 1.1041009463722398, -0.6335595318946218, 0.590329762881821, -938.7635287687262, 0.4194577352472089, ""{\""min_cluster_size\"": 160, \""min_samples\"": 20}""]",False,False,8,13,5,A5,False,
bellevue_116th_ne12th,hdbscan,5,20260707,"{""min_cluster_size"": 320, ""min_samples"": 10}",634,0,10,634,100,,0.0099631000775843,10,,,,0.175,0.15,,"[1.0, ""Infinity"", ""Infinity"", 1.0, ""{\""min_cluster_size\"": 320, \""min_samples\"": 10}""]","[10.0, 100.0, 1.0, ""Infinity"", ""Infinity"", 1.0, ""{\""min_cluster_size\"": 320, \""min_samples\"": 10}""]",False,False,8,13,8,A5,False,
bellevue_116th_ne12th,hdbscan,6,20260708,"{""min_cluster_size"": 320, ""min_samples"": 20}",634,0,10,634,100,,0.0111632999032735,10,,,,0.175,0.15,,"[1.0, ""Infinity"", ""Infinity"", 1.0, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]","[10.0, 100.0, 1.0, ""Infinity"", ""Infinity"", 1.0, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]",False,False,8,13,8,A5,False,
bellevue_116th_ne12th,optics,1,20260703,"{""max_eps"": 0.028528990860990387, ""min_samples"": 40, ""xi"": 0.05}",634,3,7,434,68.4542586750789,0.425,0.0829731000121682,10,0.965340495392891,0.0491230956653976,62864.5785884996,0.335267357183239,0.464176206946992,,"[-0.965340495392891, 0.04912309566539761, -62864.578588499615, 0.425, ""{\""max_eps\"": 0.028528990860990387, \""min_samples\"": 40, \""xi\"": 0.05}""]","[7.0, 68.45425867507886, -0.965340495392891, 0.04912309566539761, -62864.578588499615, 0.425, ""{\""max_eps\"": 0.028528990860990387, \""min_samples\"": 40, \""xi\"": 0.05}""]",True,False,8,13,5,A5,False,
bellevue_116th_ne12th,optics,2,20260704,"{""max_eps"": 0.0425915111606225, ""min_samples"": 40, ""xi"": 0.05}",634,4,6,265,41.7981072555205,0.327913279132791,0.202480499981903,10,0.929090117569836,0.106915980322675,28601.6361527207,0.403808938741734,0.570408056886438,,"[-0.9290901175698363, 0.10691598032267534, -28601.636152720723, 0.32791327913279134, ""{\""max_eps\"": 0.0425915111606225, \""min_samples\"": 40, \""xi\"": 0.05}""]","[6.0, 41.798107255520506, -0.9290901175698363, 0.10691598032267534, -28601.636152720723, 0.32791327913279134, ""{\""max_eps\"": 0.0425915111606225, \""min_samples\"": 40, \""xi\"": 0.05}""]",False,False,8,13,4,A5,False,
bellevue_116th_ne12th,optics,3,20260705,"{""max_eps"": 0.11784142357479498, ""min_samples"": 40, ""xi"": 0.05}",634,5,5,142,22.397476340694,0.335365853658537,0.372836399939843,10,0.893287808466369,0.150585000834325,12226.7679244797,0.451455673923733,0.653245162138056,,"[-0.8932878084663689, 0.15058500083432474, -12226.767924479738, 0.3353658536585366, ""{\""max_eps\"": 0.11784142357479498, \""min_samples\"": 40, \""xi\"": 0.05}""]","[5.0, 22.397476340694006, -0.8932878084663689, 0.15058500083432474, -12226.767924479738, 0.3353658536585366, ""{\""max_eps\"": 0.11784142357479498, \""min_samples\"": 40, \""xi\"": 0.05}""]",False,False,8,13,3,A5,False,
bellevue_116th_ne12th,optics,4,20260706,"{""max_eps"": 0.31873943664454396, ""min_samples"": 40, ""xi"": 0.05}",634,5,5,107,16.8769716088328,0.316888045540797,0.464978900039568,10,0.849173011322967,0.252177508930652,3484.04618593203,0.458613010347761,0.656876784567786,,"[-0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]","[5.0, 16.876971608832807, -0.8491730113229672, 0.25217750893065227, -3484.0461859320326, 0.31688804554079697, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]",False,True,8,13,3,A5,True,"[3, 16.876971608832807, -0.8491730113229672, 0.2521775089306522, -3484.0461859320326, 0.3168880455407969, ""{\""max_eps\"": 0.31873943664454396, \""min_samples\"": 40, \""xi\"": 0.05}""]"
bellevue_116th_ne12th,optics,5,20260707,"{""max_eps"": 0.028528990860990387, ""min_samples"": 40, ""xi"": 0.07}",634,3,7,434,68.4542586750789,0.425,0.0844972999766469,10,0.965340495392891,0.0491230956653976,62864.5785884996,0.335267357183239,0.464176206946992,,"[-0.965340495392891, 0.04912309566539761, -62864.578588499615, 0.425, ""{\""max_eps\"": 0.028528990860990387, \""min_samples\"": 40, \""xi\"": 0.07}""]","[7.0, 68.45425867507886, -0.965340495392891, 0.04912309566539761, -62864.578588499615, 0.425, ""{\""max_eps\"": 0.028528990860990387, \""min_samples\"": 40, \""xi\"": 0.07}""]",False,False,8,13,5,A5,False,
