scene,role,micro_region,n_support,n_finite_bearings,n_finite_headings,centroid_x_topview,centroid_y_topview,role_center_x_topview,role_center_y_topview,bearing,heading,bearing_circular_mad,heading_circular_mad,bearing_radius,heading_radius,self_consistency_quantile,bootstrap_replicates,bootstrap_seed,invalid_bearing_descriptor,invalid_heading_descriptor,zero_support_region,variant_id
bellevue_116th_ne12th,entry,0,325,325,325,1098.57910341021,355.982989210099,957.138674029365,358.948026171591,-0.0209600802036196,-0.209865143879683,0.0361402632532388,0.123725386476488,0.383442264577291,1.83360091206798,0.975,500,1420300885,False,False,False,sensitivity_self_consistency_q0975
bellevue_116th_ne12th,entry,1,226,226,226,691.603045515111,451.892365661022,957.138674029365,358.948026171591,2.80489478727371,2.7422542343399,0.0283354172254038,0.22417568691477,0.226624021363419,2.51992513133588,0.975,500,2061809336,False,False,False,sensitivity_self_consistency_q0975
bellevue_116th_ne12th,entry,2,91,91,91,892.445637326474,225.668752738448,957.138674029365,358.948026171591,-2.02269147640987,-2.2028650425316,0.0883190574079871,0.121409869189904,0.522684678404491,2.26676901008948,0.975,500,1138608299,False,False,False,sensitivity_self_consistency_q0975
bellevue_116th_ne12th,entry,3,81,81,81,956.720274298413,609.407593091865,957.138674029365,358.948026171591,1.57246685328703,0.838600068776466,0.00734214408138367,0.228387242544669,0.513860804590615,2.63685910185618,0.975,500,1088857149,False,False,False,sensitivity_self_consistency_q0975
bellevue_116th_ne12th,exit,0,223,223,223,1108.20870778447,397.010882953129,931.06620031253,400.0710631337,-0.0172735265975881,2.66077048794953,0.0286944586138413,0.118256362890167,0.100940813768481,1.81693882551889,0.975,500,1414617986,False,False,False,sensitivity_self_consistency_q0975
bellevue_116th_ne12th,exit,1,282,282,282,686.891508138712,401.181228173192,931.06620031253,400.0710631337,3.13704608334502,-1.04523669339794,0.0994876770788591,0.241443290157374,0.520630197930606,2.04894872774402,0.975,500,261846655,False,False,False,sensitivity_self_consistency_q0975
bellevue_116th_ne12th,exit,2,104,104,104,943.646134267774,258.363712426312,931.06620031253,400.0710631337,-1.4822543950891,0.896654420460308,0.057110906049139,0.119845552770802,0.466377134034349,1.95425326455293,0.975,500,1502572934,False,False,False,sensitivity_self_consistency_q0975
bellevue_116th_ne12th,exit,3,114,114,114,923.544731006871,690.613046548275,931.06620031253,400.0710631337,1.59667826530687,-2.65701533216972,0.0490034362451128,0.211263699006834,0.446433352873427,2.53893240214329,0.975,500,1959908453,False,False,False,sensitivity_self_consistency_q0975
bellevue_150th_newport,entry,0,1198,1198,1198,961.417684272094,249.016472173002,962.920651244894,310.232310018015,-1.59534332541616,1.99971578152765,0.0586471081665976,0.374857861818586,0.605856014887931,2.36905753195022,0.95,500,55455083,False,False,False,A5
bellevue_150th_newport,entry,1,591,591,591,1028.52175377,554.990886803518,962.920651244894,310.232310018015,1.30892741170547,-1.83895342420193,0.00515058209513963,0.100327625095695,0.224739109452817,0.944876561422159,0.95,500,157452374,False,False,False,A5
bellevue_150th_newport,entry,2,507,507,507,857.958588944063,520.695436829307,962.920651244894,310.232310018015,2.03341899950301,-0.267730866471203,0.0496924288093346,0.614123608221073,1.00996795214331,2.82510752523441,0.95,500,1394216134,False,False,False,A5
bellevue_150th_newport,entry,3,127,127,127,1157.73312406815,371.654722825769,962.920651244894,310.232310018015,0.305424570070566,2.57895591172517,0.105646352636247,0.721219680930073,0.24674553368437,2.91904302206315,0.95,500,282533730,False,False,False,A5
bellevue_150th_newport,exit,0,421,421,421,832.220676064799,518.074501366722,951.355131565398,520.843690581895,-3.11835260402302,2.4759068807407,0.0267832657283975,0.176400057117979,0.110474975489408,1.39314139021421,0.95,500,2109674235,False,False,False,A5
bellevue_150th_newport,exit,1,737,737,737,1010.96167878725,225.839932800871,951.355131565398,520.843690581895,-1.3714270119681,-2.56242705973113,0.027281721033122,0.410275147979741,0.10138718722716,2.35254107104136,0.95,500,592350035,False,False,False,A5
bellevue_150th_newport,exit,2,1116,1116,1116,949.974075472092,557.391437159528,951.355131565398,520.843690581895,1.60856607850344,1.67579501222331,0.0509580698977976,0.0489151103603001,0.175474139621783,0.213925587676274,0.95,500,1058518855,False,False,False,A5
bellevue_150th_newport,exit,3,149,149,149,1153.65770940536,398.309084680577,951.355131565398,520.843690581895,-0.544599902388466,-1.42471143079452,0.00899595452574298,0.334564586858364,0.0624011597785451,1.63150554602329,0.95,500,514600795,False,False,False,A5
bellevue_150th_newport,entry,0,1198,1198,1198,961.417684272094,249.016472173002,962.920651244894,310.232310018015,-1.59534332541616,1.99971578152765,0.0586471081665976,0.374857861818586,0.605856014887931,2.36905753195022,0.95,500,55455083,False,False,False,A6
