scene,variant_id,entry_supernode,exit_supernode,od_pair,count,share,supported_at_selected_threshold
bellevue_150th_se38th,A5,entry:S02,exit:S01,entry:S02>exit:S01,11,0.00443190975020145,True
bellevue_150th_se38th,A5,entry:S03,exit:S00,entry:S03>exit:S00,707,0.284850926672039,True
bellevue_150th_se38th,A5,entry:S03,exit:S01,entry:S03>exit:S01,139,0.0560032232070911,True
bellevue_150th_se38th,A5,entry:S04,exit:S00,entry:S04>exit:S00,186,0.0749395648670427,True
bellevue_150th_se38th,A5,entry:S04,exit:S01,entry:S04>exit:S01,119,0.0479452054794521,True
bellevue_150th_se38th,A6,entry:S00,exit:S00,entry:S00>exit:S00,161,0.064867042707494,True
bellevue_150th_se38th,A6,entry:S00,exit:S01,entry:S00>exit:S01,617,0.248589846897663,True
bellevue_150th_se38th,A6,entry:S01,exit:S00,entry:S01>exit:S00,61,0.024576954069299,True
bellevue_150th_se38th,A6,entry:S01,exit:S01,entry:S01>exit:S01,308,0.124093473005641,True
bellevue_150th_se38th,A6,entry:S02,exit:S00,entry:S02>exit:S00,173,0.0697018533440774,True
bellevue_150th_se38th,A6,entry:S02,exit:S01,entry:S02>exit:S01,11,0.00443190975020145,True
bellevue_150th_se38th,A6,entry:S03,exit:S00,entry:S03>exit:S00,707,0.284850926672039,True
bellevue_150th_se38th,A6,entry:S03,exit:S01,entry:S03>exit:S01,139,0.0560032232070911,True
