scene,variant_id,role,supernode_id,member_micro_regions,n_micro_regions,n_support,bearing,heading,contains_invalid_descriptor
bellevue_150th_eastgate,A9,entry,entry:S02,0,1,3202,1.56955973900181,-1.94694103639911,False
bellevue_150th_eastgate,A9,entry,entry:S03,3,1,598,2.79944950968421,-0.213963374442424,False
bellevue_150th_eastgate,A9,exit,exit:S00,2,1,3421,-1.58877012042934,-2.27387068883088,False
bellevue_150th_eastgate,A9,exit,exit:S01,3,1,434,0.0193790042359581,0.0656434266537822,False
bellevue_150th_eastgate,A9,exit,exit:S02,0,1,3011,1.0737763339524,0.279573126050721,False
bellevue_150th_eastgate,A9,exit,exit:S03,1,1,1854,3.11867412852411,2.41875259870782,False
bellevue_150th_eastgate,sensitivity_heading_w3,entry,entry:S00,1,1,2170,-2.63754347725791,2.55897525454495,False
bellevue_150th_eastgate,sensitivity_heading_w3,entry,entry:S01,2,1,2750,-0.133914685463751,-2.35694222867521,False
bellevue_150th_eastgate,sensitivity_heading_w3,entry,entry:S02,0,1,3202,1.56955973900181,-0.85405511583671,False
bellevue_150th_eastgate,sensitivity_heading_w3,entry,entry:S03,3,1,598,2.79944950968421,0.500247322587563,False
bellevue_150th_eastgate,sensitivity_heading_w3,exit,exit:S00,2,1,3421,-1.58877012042934,-1.4417840527238,False
bellevue_150th_eastgate,sensitivity_heading_w3,exit,exit:S01,3,1,434,0.0193790042359581,0.924809192085124,False
bellevue_150th_eastgate,sensitivity_heading_w3,exit,exit:S02,0,1,3011,1.0737763339524,2.04661643925988,False
bellevue_150th_eastgate,sensitivity_heading_w3,exit,exit:S03,1,1,1854,3.11867412852411,3.13468718856177,False
bellevue_150th_eastgate,sensitivity_heading_w7,entry,entry:S00,1,1,2170,-2.63754347725791,2.56430059627254,False
bellevue_150th_eastgate,sensitivity_heading_w7,entry,entry:S01,2,1,2750,-0.133914685463751,-2.3968627155102,False
bellevue_150th_eastgate,sensitivity_heading_w7,entry,entry:S02,0,1,3202,1.56955973900181,-0.791409837938412,False
