scene,variant_id,replicate,bootstrap_seed,emd_seed,sampled_trajectory_count,sampled_recording_count,emd_entry_regions,emd_exit_regions,entry_supernodes,exit_supernodes,support_threshold,smg_target,coverage,invalid_replicate,failure_reason
bellevue_116th_ne12th,A6,33,172698749,1247552483,301,3,7,4,5,4,0.001,13,1,False,
bellevue_116th_ne12th,A7,33,172698749,1247552483,301,3,7,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,33,172698749,1247552483,301,3,7,4,5,4,0.001,13,1,False,
bellevue_116th_ne12th,A5,34,433004269,555343496,723,5,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,34,433004269,555343496,723,5,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,34,433004269,555343496,723,5,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,34,433004269,555343496,723,5,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,35,828344198,1795149531,844,4,4,4,4,4,0.005,9,0.997630331753555,False,
bellevue_116th_ne12th,A6,35,828344198,1795149531,844,4,4,4,4,4,0.005,9,0.997630331753555,False,
bellevue_116th_ne12th,A7,35,828344198,1795149531,844,4,4,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,35,828344198,1795149531,844,4,4,4,4,4,0.005,9,0.997630331753555,False,
bellevue_116th_ne12th,A5,36,933784313,1386705612,476,3,7,4,6,4,0.0025,11,0.997899159663866,False,
bellevue_116th_ne12th,A6,36,933784313,1386705612,476,3,7,4,6,4,0.0025,11,0.997899159663866,False,
bellevue_116th_ne12th,A7,36,933784313,1386705612,476,3,7,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,36,933784313,1386705612,476,3,7,4,6,4,0.0025,11,0.997899159663866,False,
bellevue_116th_ne12th,A5,37,1520643572,1177094495,368,3,8,4,5,4,0.001,11,1,False,
bellevue_116th_ne12th,A6,37,1520643572,1177094495,368,3,8,4,5,4,0.001,11,1,False,
bellevue_116th_ne12th,A7,37,1520643572,1177094495,368,3,8,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,37,1520643572,1177094495,368,3,8,4,5,4,0.001,11,1,False,
