scene,variant_id,role,left_micro_region,right_micro_region,bearing_separation,heading_separation,combined_bearing_radius,combined_heading_radius,bearing_ratio,heading_ratio,primary_distance,compatible,od_profile_js_distance_diagnostic
bellevue_150th_newport,sensitivity_heading_w7,entry,2,3,1.72799442943245,2.81186212391663,1.25671348582768,5.50596374175424,1.37501065192627,0.510693904973075,1.37501065192627,False,0.876487653898677
bellevue_150th_newport,sensitivity_heading_w7,exit,0,1,1.74692559205492,1.25330619114011,0.211862162716568,2.92554868114507,8.24557613145854,0.428400388350251,8.24557613145854,False,0.906254816675629
bellevue_150th_newport,sensitivity_heading_w7,exit,0,2,1.55626662465313,0.78557836822672,0.285949115111191,1.06865668108334,5.44246001267734,0.735108273903595,5.44246001267734,False,0.39842940657623
bellevue_150th_newport,sensitivity_heading_w7,exit,0,3,2.57375270163455,2.42698137120875,0.172876135267953,2.39425407960472,14.8878426605576,1.01366909714504,14.8878426605576,False,0.923566849363901
bellevue_150th_newport,sensitivity_heading_w7,exit,1,2,2.97999309047154,2.03888455936683,0.276861326848943,2.1702835678583,10.7634862708631,0.939455373280487,10.7634862708631,False,0.868215483843449
bellevue_150th_newport,sensitivity_heading_w7,exit,1,3,0.826827109579636,1.17367518006864,0.163788347005705,3.49588096637968,5.04814368479363,0.335730876238642,5.04814368479363,False,0.547582102657121
bellevue_150th_newport,sensitivity_heading_w7,exit,2,3,2.15316598089191,3.07062556774411,0.237875299400328,1.63898896631796,9.05165852158644,1.87348763832278,9.05165852158644,False,0.811305554259778
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,0,1,2.90427073712163,2.44451610145001,0.406549833925807,2.1333532559534,7.1437016935337,1.14585622171493,7.1437016935337,False,0.922496623170868
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,0,2,2.65442298226042,2.26744664799885,0.812514496674165,4.1629440857336,3.26692384335992,0.544673817688157,3.26692384335992,False,0.68047596714766
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,0,3,1.90076789548672,0.579240130197518,0.574926610447012,4.16913546171987,3.3061052679556,0.138935310573614,3.3061052679556,False,0.608178292231664
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,1,2,0.724491587797539,1.57122255773072,0.490488519960423,3.03143523257188,1.47708164067937,0.518309789649603,1.47708164067937,False,0.516605795154474
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,1,3,1.00350284163491,1.86527597125249,0.25290063373327,3.03762660855815,3.96797282324443,0.614057029260047,3.96797282324443,False,0.926552592133847
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,2,3,1.72799442943245,2.84668677819637,0.658865296481628,5.06721743833835,2.62268241878882,0.561785005841364,2.62268241878882,False,0.876487653898677
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,0,1,1.74692559205492,1.24485136670776,0.154950988309235,2.51733371397107,11.2740525963512,0.49451185585721,11.2740525963512,False,0.906254816675629
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,0,2,1.55626662465313,0.800111868517388,0.198335561368609,0.946677423448688,7.84663432979015,0.845178989906223,7.84663432979015,False,0.39842940657623
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,0,3,2.57375270163455,2.38256699564436,0.105616029333403,1.95844029036645,24.3689591237128,1.21656351095521,24.3689591237128,False,0.923566849363901
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,1,2,2.97999309047154,2.04496323522515,0.224942608956005,1.86740372946337,13.2477928672659,1.09508361955173,13.2477928672659,False,0.868215483843449
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,1,3,0.826827109579636,1.1377156289366,0.132223076920799,2.87916659638114,6.25327385230114,0.395154497265498,6.25327385230114,False,0.547582102657121
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,2,3,2.15316598089191,3.10050644301784,0.175607649980173,1.30851030585876,12.2612311088669,2.36949333080187,12.2612311088669,False,0.811305554259778
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,0,1,2.90427073712163,2.44451610145001,1.28812329904104,5.35489960213945,2.2546527489129,0.456500827853682,2.2546527489129,False,0.922496623170868
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,0,2,2.65442298226042,2.26744664799885,2.10690631046292,5.78430976360559,1.25986759310489,0.391999519504547,1.25986759310489,False,0.68047596714766
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,0,3,1.90076789548672,0.579240130197518,1.1811522699533,5.82482976989781,1.60924881900441,0.0994432718344797,1.60924881900441,False,0.608178292231664
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,1,2,0.724491587797539,1.57122255773072,1.56436481544888,5.62945863556507,0.463121888604772,0.279107221395013,0.463121888604772,True,0.516605795154474
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,1,3,1.00350284163491,1.86527597125249,0.638610774939256,5.66997864185729,1.57138413727886,0.328974073638043,1.57138413727886,False,0.926552592133847
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,2,3,1.72799442943245,2.84668677819637,1.45739378636114,6.09938880332343,1.1856743493788,0.466716726870284,1.1856743493788,False,0.876487653898677
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,0,1,1.74692559205492,1.24485136670776,0.258067338423267,4.9870993919354,6.7692626379155,0.249614308614101,6.7692626379155,False,0.906254816675629
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,0,2,1.55626662465313,0.800111868517388,0.372616635182033,2.59725332126453,4.17658922794161,0.30806077403641,4.17658922794161,False,0.39842940657623
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,0,3,2.57375270163455,2.38256699564436,0.288627708831976,4.71746931686265,8.91720587759942,0.505051932638512,8.91720587759942,False,0.923566849363901
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,1,2,2.97999309047154,2.04496323522515,0.340548732949137,2.94705106828138,8.75056284798048,0.693901526592038,8.75056284798048,False,0.868215483843449
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,1,3,0.826827109579636,1.1377156289366,0.25655980659908,5.06726706387949,3.22274607445312,0.224522531493647,3.22274607445312,False,0.547582102657121
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,2,3,2.15316598089191,3.10050644301784,0.371109103357846,2.67742099320862,5.80197564923567,1.15801977010055,5.80197564923567,False,0.811305554259778
bellevue_150th_eastgate,A5,entry,0,1,2.07608209091986,2.90182720994514,0.469824860785691,2.66479010698145,4.41884256071086,1.08895150966775,4.41884256071086,False,0.975442254635065
bellevue_150th_eastgate,A5,entry,0,2,1.70347442446556,1.55187490227816,0.676150256296992,2.02957636459601,2.51937259300147,0.764629963843252,2.51937259300147,False,0.328884728909085
