scene,method,candidate_id,trial_index,params_json,original_score,original_rank,minimum_score,maximum_score,mean_score,std_score,score_range
bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_001,1,"{""min_cluster_size"": 80, ""min_samples"": 10}",0.6131259878641706,1,0.4584745430470801,0.9695648420634898,0.6878627178203941,0.08238226277072658,0.5110902990164097
bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_002,2,"{""min_cluster_size"": 80, ""min_samples"": 20}",0.5504040417411744,4,0.37095199568611426,0.9597288499866978,0.6391729208437698,0.09328083322920101,0.5887768543005836
bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_003,3,"{""min_cluster_size"": 160, ""min_samples"": 10}",0.5524101672141818,2,0.37069795153910035,0.9696994466342074,0.64102708005713,0.09409973358007835,0.599001495095107
bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_004,4,"{""min_cluster_size"": 160, ""min_samples"": 20}",0.5504040417411744,3,0.37095199568611426,0.9597288499866978,0.6391729208437698,0.09328083322920101,0.5887768543005836
bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_005,5,"{""min_cluster_size"": 320, ""min_samples"": 10}",0.15000000000000002,5,0.016340542575684305,0.49498318335229774,0.26552884262816157,0.10023307773182497,0.47864264077661345
bellevue_116th_ne12th,hdbscan,bellevue_116th_ne12th|hdbscan|trial_006,6,"{""min_cluster_size"": 320, ""min_samples"": 20}",0.15000000000000002,6,0.016340542575684305,0.49498318335229774,0.26552884262816157,0.10023307773182497,0.47864264077661345
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_001,1,"{""max_iter"": 300, ""n_clusters"": 2, ""n_init"": 10}",0.46135371499081834,18,0.2580752915033959,0.9631474530083605,0.5422853084726124,0.11191902632417015,0.7050721615049645
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_002,2,"{""max_iter"": 300, ""n_clusters"": 3, ""n_init"": 10}",0.5524101672141818,15,0.37069795153910035,0.9696994466342074,0.64102708005713,0.09409973358007835,0.599001495095107
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_003,3,"{""max_iter"": 300, ""n_clusters"": 4, ""n_init"": 10}",0.613933996008798,13,0.4585307975802449,0.9751666524653106,0.68832012250318,0.08264298365866415,0.5166358548850658
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_004,4,"{""max_iter"": 300, ""n_clusters"": 5, ""n_init"": 10}",0.6809873300199524,10,0.5513402040198097,0.9788168327546413,0.7448664842459077,0.06796229078499766,0.4274766287348316
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_005,5,"{""max_iter"": 300, ""n_clusters"": 6, ""n_init"": 10}",0.7382559700535173,8,0.6374022357099092,0.9819048454547775,0.7843404312013258,0.054317555848190174,0.34450260974486835
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_006,6,"{""max_iter"": 300, ""n_clusters"": 7, ""n_init"": 10}",0.7861236415967479,6,0.7116460613460864,0.9826612029520263,0.8070605474149211,0.042669812112896166,0.27101514160593987
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_007,7,"{""max_iter"": 300, ""n_clusters"": 8, ""n_init"": 10}",0.837468444112984,4,0.7465452278464204,0.98463223294358,0.8360495816385356,0.03613978398210799,0.23808700509715963
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_008,8,"{""max_iter"": 300, ""n_clusters"": 9, ""n_init"": 10}",0.8890501847998333,2,0.7502946943455143,0.9868060493384869,0.8654966344619097,0.03677751223901894,0.2365113549929726
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_009,9,"{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",0.9415434312264103,1,0.7542351746001917,0.992333709968246,0.8965704918462583,0.04418078547288113,0.23809853536805425
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_010,10,"{""max_iter"": 300, ""n_clusters"": 11, ""n_init"": 10}",0.8847100910166136,3,0.7410507597676991,0.9847747491971938,0.8575806636857055,0.038883356310157165,0.2437239894294947
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_011,11,"{""max_iter"": 300, ""n_clusters"": 12, ""n_init"": 10}",0.8329828692251464,5,0.7302712359632305,0.9826196209161017,0.8278939881486775,0.03718140594773912,0.25234838495287115
bellevue_116th_ne12th,kmeans,bellevue_116th_ne12th|kmeans|trial_012,12,"{""max_iter"": 300, ""n_clusters"": 13, ""n_init"": 10}",0.7810082924188804,7,0.7039046295906023,0.9798739237405009,0.7977087455748426,0.04131282543459016,0.27596929414989857
