weight_id,family,T,O,B,S,D
local_0075,local,0.30000000000000004,0.30000000000000004,0.2,0.05,0.15000000000000002
local_0076,local,0.30000000000000004,0.30000000000000004,0.2,0.1,0.1
local_0077,local,0.30000000000000004,0.30000000000000004,0.2,0.15000000000000002,0.05
local_0078,local,0.30000000000000004,0.30000000000000004,0.25,0.05,0.1
local_0079,local,0.30000000000000004,0.30000000000000004,0.25,0.1,0.05
local_0080,local,0.30000000000000004,0.35000000000000003,0.05,0.05,0.25
local_0081,local,0.30000000000000004,0.35000000000000003,0.05,0.1,0.2
local_0082,local,0.30000000000000004,0.35000000000000003,0.05,0.15000000000000002,0.15000000000000002
local_0083,local,0.30000000000000004,0.35000000000000003,0.05,0.2,0.1
local_0084,local,0.30000000000000004,0.35000000000000003,0.05,0.25,0.05
local_0085,local,0.30000000000000004,0.35000000000000003,0.1,0.05,0.2
local_0086,local,0.30000000000000004,0.35000000000000003,0.1,0.1,0.15000000000000002
local_0087,local,0.30000000000000004,0.35000000000000003,0.1,0.15000000000000002,0.1
local_0088,local,0.30000000000000004,0.35000000000000003,0.1,0.2,0.05
local_0089,local,0.30000000000000004,0.35000000000000003,0.15000000000000002,0.05,0.15000000000000002
local_0090,local,0.30000000000000004,0.35000000000000003,0.15000000000000002,0.1,0.1
local_0091,local,0.30000000000000004,0.35000000000000003,0.15000000000000002,0.15000000000000002,0.05
local_0092,local,0.30000000000000004,0.35000000000000003,0.2,0.05,0.1
local_0093,local,0.30000000000000004,0.35000000000000003,0.2,0.1,0.05
local_0094,local,0.30000000000000004,0.35000000000000003,0.25,0.05,0.05
local_0095,local,0.35000000000000003,0.1,0.05,0.25,0.25
local_0096,local,0.35000000000000003,0.1,0.1,0.2,0.25
local_0097,local,0.35000000000000003,0.1,0.1,0.25,0.2
local_0098,local,0.35000000000000003,0.1,0.15000000000000002,0.15000000000000002,0.25
local_0099,local,0.35000000000000003,0.1,0.15000000000000002,0.2,0.2
local_0100,local,0.35000000000000003,0.1,0.15000000000000002,0.25,0.15000000000000002
local_0101,local,0.35000000000000003,0.1,0.2,0.1,0.25
local_0102,local,0.35000000000000003,0.1,0.2,0.15000000000000002,0.2
local_0103,local,0.35000000000000003,0.1,0.2,0.2,0.15000000000000002
local_0104,local,0.35000000000000003,0.1,0.2,0.25,0.1
local_0105,local,0.35000000000000003,0.1,0.25,0.05,0.25
local_0106,local,0.35000000000000003,0.1,0.25,0.1,0.2
local_0107,local,0.35000000000000003,0.1,0.25,0.15000000000000002,0.15000000000000002
local_0108,local,0.35000000000000003,0.1,0.25,0.2,0.1
local_0109,local,0.35000000000000003,0.1,0.25,0.25,0.05
local_0110,local,0.35000000000000003,0.15000000000000002,0.05,0.2,0.25
local_0111,local,0.35000000000000003,0.15000000000000002,0.05,0.25,0.2
local_0112,local,0.35000000000000003,0.15000000000000002,0.1,0.15000000000000002,0.25
local_0113,local,0.35000000000000003,0.15000000000000002,0.1,0.2,0.2
local_0114,local,0.35000000000000003,0.15000000000000002,0.1,0.25,0.15000000000000002
local_0115,local,0.35000000000000003,0.15000000000000002,0.15000000000000002,0.1,0.25
local_0116,local,0.35000000000000003,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.2
local_0117,local,0.35000000000000003,0.15000000000000002,0.15000000000000002,0.2,0.15000000000000002
local_0118,local,0.35000000000000003,0.15000000000000002,0.15000000000000002,0.25,0.1
local_0119,local,0.35000000000000003,0.15000000000000002,0.2,0.05,0.25
local_0120,local,0.35000000000000003,0.15000000000000002,0.2,0.1,0.2
local_0121,local,0.35000000000000003,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002
local_0122,local,0.35000000000000003,0.15000000000000002,0.2,0.2,0.1
local_0123,local,0.35000000000000003,0.15000000000000002,0.2,0.25,0.05
local_0124,local,0.35000000000000003,0.15000000000000002,0.25,0.05,0.2
local_0125,local,0.35000000000000003,0.15000000000000002,0.25,0.1,0.15000000000000002
local_0126,local,0.35000000000000003,0.15000000000000002,0.25,0.15000000000000002,0.1
local_0127,local,0.35000000000000003,0.15000000000000002,0.25,0.2,0.05
local_0128,local,0.35000000000000003,0.2,0.05,0.15000000000000002,0.25
local_0129,local,0.35000000000000003,0.2,0.05,0.2,0.2
local_0130,local,0.35000000000000003,0.2,0.05,0.25,0.15000000000000002
local_0131,local,0.35000000000000003,0.2,0.1,0.1,0.25
local_0132,local,0.35000000000000003,0.2,0.1,0.15000000000000002,0.2
local_0133,local,0.35000000000000003,0.2,0.1,0.2,0.15000000000000002
local_0134,local,0.35000000000000003,0.2,0.1,0.25,0.1
local_0135,local,0.35000000000000003,0.2,0.15000000000000002,0.05,0.25
local_0136,local,0.35000000000000003,0.2,0.15000000000000002,0.1,0.2
local_0137,local,0.35000000000000003,0.2,0.15000000000000002,0.15000000000000002,0.15000000000000002
local_0138,local,0.35000000000000003,0.2,0.15000000000000002,0.2,0.1
local_0139,local,0.35000000000000003,0.2,0.15000000000000002,0.25,0.05
local_0140,local,0.35000000000000003,0.2,0.2,0.05,0.2
local_0141,local,0.35000000000000003,0.2,0.2,0.1,0.15000000000000002
local_0142,local,0.35000000000000003,0.2,0.2,0.15000000000000002,0.1
local_0143,local,0.35000000000000003,0.2,0.2,0.2,0.05
local_0144,local,0.35000000000000003,0.2,0.25,0.05,0.15000000000000002
local_0145,local,0.35000000000000003,0.2,0.25,0.1,0.1
local_0146,local,0.35000000000000003,0.2,0.25,0.15000000000000002,0.05
local_0147,local,0.35000000000000003,0.25,0.05,0.1,0.25
local_0148,local,0.35000000000000003,0.25,0.05,0.15000000000000002,0.2
local_0149,local,0.35000000000000003,0.25,0.05,0.2,0.15000000000000002
local_0150,local,0.35000000000000003,0.25,0.05,0.25,0.1
local_0151,local,0.35000000000000003,0.25,0.1,0.05,0.25
local_0152,local,0.35000000000000003,0.25,0.1,0.1,0.2
local_0153,local,0.35000000000000003,0.25,0.1,0.15000000000000002,0.15000000000000002
local_0154,local,0.35000000000000003,0.25,0.1,0.2,0.1
local_0155,local,0.35000000000000003,0.25,0.1,0.25,0.05
local_0156,local,0.35000000000000003,0.25,0.15000000000000002,0.05,0.2
local_0157,local,0.35000000000000003,0.25,0.15000000000000002,0.1,0.15000000000000002
local_0158,local,0.35000000000000003,0.25,0.15000000000000002,0.15000000000000002,0.1
local_0159,local,0.35000000000000003,0.25,0.15000000000000002,0.2,0.05
local_0160,local,0.35000000000000003,0.25,0.2,0.05,0.15000000000000002
local_0161,local,0.35000000000000003,0.25,0.2,0.1,0.1
local_0162,local,0.35000000000000003,0.25,0.2,0.15000000000000002,0.05
local_0163,local,0.35000000000000003,0.25,0.25,0.05,0.1
local_0164,local,0.35000000000000003,0.25,0.25,0.1,0.05
local_0165,local,0.35000000000000003,0.30000000000000004,0.05,0.05,0.25
local_0166,local,0.35000000000000003,0.30000000000000004,0.05,0.1,0.2
local_0167,local,0.35000000000000003,0.30000000000000004,0.05,0.15000000000000002,0.15000000000000002
local_0168,local,0.35000000000000003,0.30000000000000004,0.05,0.2,0.1
local_0169,local,0.35000000000000003,0.30000000000000004,0.05,0.25,0.05
local_0170,local,0.35000000000000003,0.30000000000000004,0.1,0.05,0.2
local_0171,local,0.35000000000000003,0.30000000000000004,0.1,0.1,0.15000000000000002
local_0172,local,0.35000000000000003,0.30000000000000004,0.1,0.15000000000000002,0.1
local_0173,local,0.35000000000000003,0.30000000000000004,0.1,0.2,0.05
local_0174,local,0.35000000000000003,0.30000000000000004,0.15000000000000002,0.05,0.15000000000000002
local_0175,local,0.35000000000000003,0.30000000000000004,0.15000000000000002,0.1,0.1
local_0176,local,0.35000000000000003,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.05
local_0177,local,0.35000000000000003,0.30000000000000004,0.2,0.05,0.1
local_0178,local,0.35000000000000003,0.30000000000000004,0.2,0.1,0.05
local_0179,local,0.35000000000000003,0.30000000000000004,0.25,0.05,0.05
local_0180,local,0.35000000000000003,0.35000000000000003,0.05,0.05,0.2
local_0181,local,0.35000000000000003,0.35000000000000003,0.05,0.1,0.15000000000000002
local_0182,local,0.35000000000000003,0.35000000000000003,0.05,0.15000000000000002,0.1
local_0183,local,0.35000000000000003,0.35000000000000003,0.05,0.2,0.05
local_0184,local,0.35000000000000003,0.35000000000000003,0.1,0.05,0.15000000000000002
local_0185,local,0.35000000000000003,0.35000000000000003,0.1,0.1,0.1
local_0186,local,0.35000000000000003,0.35000000000000003,0.1,0.15000000000000002,0.05
local_0187,local,0.35000000000000003,0.35000000000000003,0.15000000000000002,0.05,0.1
local_0188,local,0.35000000000000003,0.35000000000000003,0.15000000000000002,0.1,0.05
local_0189,local,0.35000000000000003,0.35000000000000003,0.2,0.05,0.05
local_0190,local,0.4,0.1,0.05,0.2,0.25
local_0191,local,0.4,0.1,0.05,0.25,0.2
local_0192,local,0.4,0.1,0.1,0.15000000000000002,0.25
local_0193,local,0.4,0.1,0.1,0.2,0.2
local_0194,local,0.4,0.1,0.1,0.25,0.15000000000000002
local_0195,local,0.4,0.1,0.15000000000000002,0.1,0.25
local_0196,local,0.4,0.1,0.15000000000000002,0.15000000000000002,0.2
local_0197,local,0.4,0.1,0.15000000000000002,0.2,0.15000000000000002
local_0198,local,0.4,0.1,0.15000000000000002,0.25,0.1
local_0199,local,0.4,0.1,0.2,0.05,0.25
local_0200,local,0.4,0.1,0.2,0.1,0.2
local_0201,local,0.4,0.1,0.2,0.15000000000000002,0.15000000000000002
local_0202,local,0.4,0.1,0.2,0.2,0.1
