scope,scene,method,statistic,variable_x,variable_y,value
scene_method,bellevue_150th_newport,optics,pearson_with_original_EMAS,O,EMAS_HG,0.9311465526841545
scene_method,bellevue_150th_newport,optics,fraction_at_zero,O,,0.0
scene_method,bellevue_150th_newport,optics,fraction_at_one,O,,0.0
scene_method,bellevue_150th_newport,optics,variance,B,,0.039649285535357195
scene_method,bellevue_150th_newport,optics,pearson_with_original_EMAS,B,EMAS_HG,0.9513827783488618
scene_method,bellevue_150th_newport,optics,fraction_at_zero,B,,0.125
scene_method,bellevue_150th_newport,optics,fraction_at_one,B,,0.0
scene_method,bellevue_150th_newport,optics,variance,S,,0.023213712463678135
scene_method,bellevue_150th_newport,optics,pearson_with_original_EMAS,S,EMAS_HG,0.9281294668010025
scene_method,bellevue_150th_newport,optics,fraction_at_zero,S,,0.0
scene_method,bellevue_150th_newport,optics,fraction_at_one,S,,0.0
scene_method,bellevue_150th_newport,optics,variance,D,,0.017678845554437175
scene_method,bellevue_150th_newport,optics,pearson_with_original_EMAS,D,EMAS_HG,0.8515194175033582
scene_method,bellevue_150th_newport,optics,fraction_at_zero,D,,0.0
scene_method,bellevue_150th_newport,optics,fraction_at_one,D,,0.0
scene_method,bellevue_150th_newport,optics,component_pearson,T,T,1.0
scene_method,bellevue_150th_newport,optics,component_pearson,T,O,0.8568715057064501
scene_method,bellevue_150th_newport,optics,component_pearson,T,B,0.9028015861284084
scene_method,bellevue_150th_newport,optics,component_pearson,T,S,0.8612511389026599
scene_method,bellevue_150th_newport,optics,component_pearson,T,D,0.746161613188028
scene_method,bellevue_150th_newport,optics,component_pearson,O,O,1.0
scene_method,bellevue_150th_newport,optics,component_pearson,O,B,0.8241366624083993
scene_method,bellevue_150th_newport,optics,component_pearson,O,S,0.7977704340889177
scene_method,bellevue_150th_newport,optics,component_pearson,O,D,0.759454409614688
scene_method,bellevue_150th_newport,optics,component_pearson,B,B,1.0
scene_method,bellevue_150th_newport,optics,component_pearson,B,S,0.9853870044181254
scene_method,bellevue_150th_newport,optics,component_pearson,B,D,0.898287158234494
scene_method,bellevue_150th_newport,optics,component_pearson,S,S,1.0
scene_method,bellevue_150th_newport,optics,component_pearson,S,D,0.9537236512013713
scene_method,bellevue_150th_newport,optics,component_pearson,D,D,1.0
scene_method,bellevue_150th_se38th,hdbscan,variance,T,,0.010030864197530862
scene_method,bellevue_150th_se38th,hdbscan,pearson_with_original_EMAS,T,EMAS_HG,0.9993453310698336
