source,source_row,scene,method,selection_strategy,trial_index,expected_target,cluster_count_error,pct_outliers,largest_cluster_ratio,silhouette_clustered_only,davies_bouldin_clustered_only,T,O,B,S,D,stored_EMAS_HG,recomputed_EMAS_HG,absolute_difference,tolerance,within_tolerance
development_candidates,154,bellevue_150th_se38th,kmeans,,2.0,18,15,0.0,0.3556719022687609,0.6571848696895395,0.6264320073508847,0.16666666666666663,1.0,0.6443280977312391,0.8285924348447697,0.6148427942147975,0.492109666012414,0.492109666012414,0.0,1e-12,True
development_candidates,155,bellevue_150th_se38th,kmeans,,3.0,18,14,0.0,0.3483420593368237,0.7092047488451011,0.4657345097154861,0.2222222222222222,1.0,0.6516579406631763,0.8546023744225506,0.6822517948315961,0.5299623221028434,0.5299623221028434,0.0,1e-12,True
development_candidates,156,bellevue_150th_se38th,kmeans,,4.0,18,13,0.0,0.319022687609075,0.7714668872106726,0.5572246267185632,0.2777777777777778,1.0,0.6809773123909251,0.8857334436053363,0.6421681129634034,0.5597767757848554,0.5597767757848554,0.0,1e-12,True
development_candidates,157,bellevue_150th_se38th,kmeans,,5.0,18,12,0.0,0.2921465968586387,0.7543751030271736,0.6774464354721322,0.33333333333333337,1.0,0.7078534031413612,0.8771875515135867,0.5961442218681284,0.5847851843189744,0.5847851843189744,0.0,1e-12,True
development_candidates,158,bellevue_150th_se38th,kmeans,,6.0,18,11,0.0,0.2900523560209424,0.7810146618028326,0.4705613646477291,0.38888888888888884,1.0,0.7099476439790575,0.8905073309014163,0.680012425213924,0.6224911844538842,0.6224911844538842,0.0,1e-12,True
development_candidates,159,bellevue_150th_se38th,kmeans,,7.0,18,10,0.0,0.2764397905759162,0.8015836592727482,0.5166439084738212,0.4444444444444444,1.0,0.7235602094240838,0.9007918296363742,0.6593505531606867,0.6505924814443367,0.6505924814443367,0.0,1e-12,True
development_candidates,160,bellevue_150th_se38th,kmeans,,8.0,18,9,0.0,0.2764397905759162,0.8153884396913328,0.4404376336576369,0.5,1.0,0.7235602094240838,0.9076942198456663,0.694233458383579,0.6825487887653329,0.6825487887653329,0.0,1e-12,True
development_candidates,161,bellevue_150th_se38th,kmeans,,9.0,18,8,0.0,0.2764397905759162,0.8219087500001323,0.3710546103376975,0.5555555555555556,1.0,0.7235602094240838,0.9109543750000662,0.7293655500372046,0.7141657912239132,0.7141657912239132,0.0,1e-12,True
development_candidates,162,bellevue_150th_se38th,kmeans,,10.0,18,7,0.0,0.2764397905759162,0.8246833669053552,0.3840372033568995,0.6111111111111112,1.0,0.7235602094240838,0.9123416834526776,0.7225239304077663,0.7413981378840082,0.7413981378840082,0.0,1e-12,True
development_candidates,163,bellevue_150th_se38th,kmeans,,11.0,18,6,0.0,0.2764397905759162,0.828871462132217,0.3312712397899077,0.6666666666666667,1.0,0.7235602094240838,0.9144357310661084,0.7511617243063204,0.7722490998129847,0.7722490998129847,0.0,1e-12,True
development_candidates,164,bellevue_150th_se38th,kmeans,,12.0,18,5,0.0,0.2746945898778359,0.7477062996912646,0.4637418234781807,0.7222222222222222,1.0,0.7253054101221641,0.8738531498456323,0.6831805882432016,0.789345025932211,0.789345025932211,0.0,1e-12,True
development_candidates,165,bellevue_150th_se38th,kmeans,,13.0,18,4,0.0,0.2746945898778359,0.7423297847852253,0.4784540062180203,0.7777777777777778,1.0,0.7253054101221641,0.8711648923926126,0.6763822180427945,0.8161741409446461,0.8161741409446461,0.0,1e-12,True
development_candidates,166,bellevue_150th_se38th,kmeans,,14.0,18,3,0.0,0.2746945898778359,0.7242573870970657,0.4759112855550561,0.8333333333333334,1.0,0.7253054101221641,0.8621286935485328,0.6775474988145532,0.8431648269151918,0.8431648269151918,0.0,1e-12,True
development_candidates,167,bellevue_150th_se38th,kmeans,,15.0,18,2,0.0,0.2743455497382199,0.694684445658402,0.4919430545996355,0.8888888888888888,1.0,0.7256544502617801,0.847342222829201,0.6702668690450462,0.8687707986580471,0.8687707986580471,0.0,1e-12,True
development_candidates,168,bellevue_150th_se38th,kmeans,,16.0,18,1,0.0,0.2743455497382199,0.727325437466442,0.460104716051716,0.9444444444444444,1.0,0.7256544502617801,0.863662718733221,0.6848823848087486,0.8996421776025972,0.8996421776025972,0.0,1e-12,True
development_candidates,169,bellevue_150th_se38th,kmeans,,17.0,18,0,0.0,0.2743455497382199,0.7259645307388554,0.4886428070166788,1.0,1.0,0.7256544502617801,0.8629822653694277,0.6717528175909804,0.9260389533222187,0.9260389533222187,0.0,1e-12,True
development_candidates,170,bellevue_150th_se38th,kmeans,,18.0,18,1,0.0,0.2743455497382199,0.6511787717889531,0.5692770657305054,0.9444444444444444,1.0,0.7256544502617801,0.8255893858944765,0.6372361017934686,0.8910702160171948,0.8910702160171948,0.0,1e-12,True
development_candidates,171,bellevue_150th_se38th,kmeans,,19.0,18,2,0.0,0.2743455497382199,0.6525326479647247,0.5142142110162075,0.8888888888888888,1.0,0.7256544502617801,0.8262663239823623,0.6604085424141461,0.8656773761102732,0.8656773761102732,0.0,1e-12,True
development_candidates,172,bellevue_150th_se38th,kmeans,,20.0,18,3,0.0,0.2223385689354275,0.5160773676096518,0.5694779817898866,0.8333333333333334,1.0,0.7776614310645725,0.7580386838048259,0.6371545262836791,0.8339521307819744,0.8339521307819744,0.0,1e-12,True
development_candidates,173,bellevue_150th_se38th,kmeans,,21.0,18,4,0.0,0.2223385689354275,0.5118571258802178,0.5859955180127939,0.7777777777777778,1.0,0.7776614310645725,0.7559285629401089,0.6305188057863939,0.8052997688679965,0.8052997688679965,0.0,1e-12,True
development_candidates,174,bellevue_150th_se38th,kmeans,,22.0,18,5,0.0,0.1469458987783595,0.4647995977325457,0.6149959529924038,0.7222222222222222,1.0,0.8530541012216405,0.7323997988662728,0.619196598076369,0.7815761609275395,0.7815761609275395,0.0,1e-12,True
development_candidates,175,bellevue_150th_se38th,kmeans,,23.0,18,6,0.0,0.144153577661431,0.4637835879410783,0.6186307683084414,0.6666666666666667,1.0,0.855846422338569,0.7318917939705392,0.617806123285952,0.7538877672928395,0.7538877672928395,0.0,1e-12,True
development_candidates,176,bellevue_150th_se38th,kmeans,,24.0,18,7,0.0,0.1445026178010471,0.4517041958155613,0.6499383945261521,0.6111111111111112,1.0,0.8554973821989529,0.7258520979077807,0.6060832351787239,0.7242988270841013,0.7242988270841013,0.0,1e-12,True
development_candidates,177,bellevue_150th_se38th,kmeans,,25.0,18,8,0.0,0.144153577661431,0.4689078220378417,0.6267762543967754,0.5555555555555556,1.0,0.855846422338569,0.7344539110189209,0.6147126854705719,0.698279079660584,0.698279079660584,0.0,1e-12,True
development_candidates,178,bellevue_150th_se38th,kmeans,,26.0,18,9,0.0,0.143804537521815,0.4572599390589523,0.6611062528196713,0.5,1.0,0.856195462478185,0.7286299695294761,0.6020084496717378,0.6686833881679399,0.6686833881679399,0.0,1e-12,True
development_candidates,179,bellevue_150th_se38th,kmeans,,27.0,18,10,0.0,0.144153577661431,0.4685687888136161,0.6376240748405155,0.4444444444444444,1.0,0.855846422338569,0.734284394406808,0.610640754104319,0.6422993793071918,0.6422993793071918,0.0,1e-12,True
development_candidates,180,bellevue_150th_se38th,kmeans,,28.0,18,11,0.0,0.1204188481675392,0.4479835751974254,0.6912392017205847,0.38888888888888884,1.0,0.8795811518324608,0.7239917875987127,0.5912824152743436,0.6139299799149961,0.6139299799149961,0.0,1e-12,True
development_candidates,181,bellevue_150th_se38th,kmeans,,29.0,18,12,0.0,0.144153577661431,0.4469377059473322,0.6958676948163258,0.33333333333333337,1.0,0.855846422338569,0.7234688529736661,0.5896686416379356,0.5835650583616838,0.5835650583616838,0.0,1e-12,True
development_candidates,182,bellevue_150th_se38th,hdbscan,,1.0,18,11,6.317626527050611,0.2928464977645305,0.7259351208326912,0.5811849180045778,0.38888888888888884,0.9368237347294939,0.7071535022354696,0.8629675604163456,0.6324370974028636,0.602065007395811,0.602065007395811,0.0,1e-12,True
development_candidates,183,bellevue_150th_se38th,hdbscan,,2.0,18,11,9.389179755671902,0.3016178736517719,0.7501139476217971,0.4040257288938401,0.38888888888888884,0.9061082024432809,0.6983821263482282,0.8750569738108985,0.712237660194339,0.6042337609684472,0.6042337609684472,0.0,1e-12,True
development_candidates,184,bellevue_150th_se38th,hdbscan,,3.0,18,14,7.0855148342059335,0.3463561232156273,0.8107713596540186,0.3391550008227747,0.2222222222222222,0.9291448516579407,0.6536438767843726,0.9053856798270092,0.7467395479877995,0.5275169919026174,0.5275169919026174,0.0,1e-12,True
development_candidates,185,bellevue_150th_se38th,hdbscan,,4.0,18,15,13.647469458987784,0.3698464025869038,0.8446770227337581,0.175829034179734,0.16666666666666663,0.8635253054101222,0.6301535974130962,0.922338511366879,0.8504637757117527,0.4963339828645305,0.49633398286453057,5.551115123125783e-17,1e-12,True
