method_family,method_label,variant_id,scene_id,method,configuration_id,total_test_trajectories,valid_reference_trajectories,excluded_reference_trajectories,reference_coverage_pct,observed_target_abs_error,legal_target_abs_error,n_non_noise_clusters,noise_pct_all_test,ari,nmi,purity,homogeneity,completeness,v_measure,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_150th_eastgate,hdbscan,3aa49f4cb80a5c892c51f80d6fb60ec0fb73f85988c8e5a0c8c70a0162fc6e27,10755.0,10586.0,169.0,98.4286378429,2.0,1.0,11.0,8.15434681543,0.575134269692,0.837611172128,0.981768373323,0.964624302451,0.740154256698,0.837611172128,0.872397134766,0.725887947833,0.772447391425,0.982684125536,0.653504628755,0.758593378728
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_150th_eastgate,kmeans,fbae8dbb040bc3761ec0fde7ca930b673769abeaa5d7af0990e44f3295aac59e,10755.0,10586.0,169.0,98.4286378429,2.0,1.0,11.0,0.0,0.944759038016,0.952216004635,0.999716606839,0.999021936139,0.909599663581,0.952216004635,0.999458874459,0.912701683982,0.944588113227,0.999717987001,0.894199886643,0.933504953109
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_150th_eastgate,optics,a8fdd105820076d9c6ada62b55d3c157f9af874771c301c5eb86f48308425213,10755.0,10586.0,169.0,98.4286378429,4.0,1.0,13.0,18.940027894,0.745616938606,0.739433800978,0.855847345551,0.795914474814,0.690438074756,0.739433800978,0.888888888889,0.5462589306,0.664824758789,0.990648025694,0.692329491782,0.796063239786
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_150th_newport,hdbscan,5721f474f068eb5294660b68ac43d567e5bdd3fd05d6a58759c9658a817388e2,3924.0,3852.0,72.0,98.1651376147,3.0,6.0,6.0,0.178389398573,0.988542519385,0.981666590278,0.985981308411,0.963993306029,1.0,0.981666590278,0.654200047324,0.666666666667,0.660107129558,0.971314716933,0.984164070613,0.977463018779
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_150th_newport,kmeans,b68adcbf5a5d58769f5395ed7c2bb40b368e647dc10da34459cd03e7de0cc478,3924.0,3852.0,72.0,98.1651376147,2.0,5.0,7.0,0.0,0.990923316193,0.989938359688,0.995067497404,0.980077175668,1.0,0.989938359688,0.776292195587,0.777777777778,0.777032491988,0.990168295368,0.995067497404,0.99260959948
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_150th_newport,optics,bec0a1900f9be6463b081efd9a6b43db137254e24d3c484fa2da74a969115964,3924.0,3852.0,72.0,98.1651376147,1.0,4.0,8.0,5.58103975535,0.973987690547,0.922737488122,0.97481827622,0.949287245785,0.897632417695,0.922737488122,0.666666666667,0.587323188069,0.617865350058,0.984164070613,0.923676012461,0.947125037809
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_150th_se38th,hdbscan,3d6ef207f66fad1bff409eb754d234f343d3f907cb55f6d4ef8f3e3ed245484f,3713.0,3422.0,291.0,92.162671694,1.0,2.0,10.0,11.419337463,0.459130907612,0.735013551426,0.972238457043,0.943376543564,0.602041105756,0.735013551426,0.635802469136,0.530179183014,0.560600482466,0.958341450744,0.570134424313,0.69520960792
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_150th_se38th,kmeans,426647a308c18efc01ec9d53c11bc35ca147d9f5b7a48297ff347cd2e971de1c,3713.0,3422.0,291.0,92.162671694,3.0,0.0,12.0,0.0,0.85910830094,0.897791278926,0.999415546464,0.998033409114,0.815847807507,0.897791278926,0.996913580247,0.923127184239,0.952815971747,0.999431781284,0.857101110462,0.914932097325
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_150th_se38th,optics,12acce6140598d02ba5ef91f2d5f10c8538226cde2ef8f3486122b4a1d6b9622,3713.0,3422.0,291.0,92.162671694,2.0,1.0,11.0,15.5669270132,0.684021562481,0.778870295378,0.963471654004,0.900042837899,0.686453263874,0.778870295378,0.777777777778,0.570964763478,0.638006082068,0.993571011105,0.740794856809,0.841737522157
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_ne8th,hdbscan,bcfe25a3de81ef15af84f0365dd7524ad59b4fddd94179660adf99d0351d51ba,8037.0,7510.0,527.0,93.4428269255,4.0,2.0,14.0,8.94612417569,0.56987744696,0.772924655447,0.939014647137,0.920056560111,0.666362524697,0.772924655447,0.7,0.492008978849,0.568099127246,0.978561917443,0.598402130493,0.737200528112
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_ne8th,kmeans,cf508a11f8a961e165bb39d52b7b9146b2a1412dc9f715e910f53fe013e87f9a,8037.0,7510.0,527.0,93.4428269255,0.0,2.0,10.0,0.0,0.888732298395,0.952057667178,0.997470039947,0.992890125816,0.914451005681,0.952057667178,0.898445171849,0.856316916488,0.871271289366,0.994979416425,0.888814913449,0.926705458673
hg_smg_tc_A5,HG-SMG-TC A5,A5,bellevue_ne8th,optics,2253680e78590e625974e3db2a7ecb84ca4b54cb0cc9bd2dc5bda9de17c955e9,8037.0,7510.0,527.0,93.4428269255,0.0,2.0,10.0,55.1947243997,0.206951993789,0.510392457174,0.683888149134,0.4853656506,0.538140481198,0.510392457174,0.6,0.238279819096,0.317587911538,0.949001331558,0.302130492676,0.428411210237
original_hg_aware_A1,Original HG-aware A1,A1,bellevue_116th_ne12th,hdbscan,9b9bebbdbb9085819a43827b833e590a0a93c2ddd6448fb26839063043d15513,964.0,864.0,100.0,89.6265560166,6.0,8.0,4.0,0.0,0.753097054756,0.832407301178,0.811342592593,0.712926093163,1.0,0.832407301178,0.329509453985,0.4,0.360861629005,0.661099720996,0.811342592593,0.727762516937
original_hg_aware_A1,Original HG-aware A1,A1,bellevue_116th_ne12th,kmeans,513ad97c5a06518a076255957ca2be46ee374482bd997621764ed6abf7eb6f6e,964.0,864.0,100.0,89.6265560166,0.0,2.0,10.0,0.0,0.952814774696,0.971665540885,0.994212962963,0.985271667206,0.95843008388,0.971665540885,0.897807017544,0.889215686275,0.893191870685,0.988552834633,0.96875,0.977894413404
original_hg_aware_A1,Original HG-aware A1,A1,bellevue_116th_ne12th,optics,15c3bcd6c95cd9d76b4d4ff2122fe6b8cd147770ac2e3853ed4967a3957c66cd,964.0,864.0,100.0,89.6265560166,2.0,4.0,8.0,31.1203319502,0.417493916695,0.704216803215,0.797453703704,0.725137095716,0.684469768013,0.704216803215,0.592063492063,0.439388118874,0.485410687303,0.899066725456,0.552083333333,0.65957670942
original_hg_aware_A1,Original HG-aware A1,A1,bellevue_150th_eastgate,hdbscan,60788c08dd8d9af8c98cae99565e62518f2cb03cd2be4c94f66e87e0d1173d76,10755.0,10586.0,169.0,98.4286378429,2.0,1.0,11.0,8.15434681543,0.575134269692,0.837611172128,0.981768373323,0.964624302451,0.740154256698,0.837611172128,0.872397134766,0.725887947833,0.772447391425,0.982684125536,0.653504628755,0.758593378728
original_hg_aware_A1,Original HG-aware A1,A1,bellevue_150th_eastgate,kmeans,30153eaaa8b4d404e5c829544f5fdcdfc7f8a1ae7f2ba177d1ce6e4e53e89748,10755.0,10586.0,169.0,98.4286378429,0.0,3.0,9.0,0.0,0.974824372562,0.969563456823,0.990364632534,0.984576828104,0.955001072992,0.969563456823,0.871856009225,0.835517120894,0.844589785208,0.982402112537,0.932930285282,0.948224682983
